2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1.1607491555332824e-18,0.0,0.0,0.0,0.0,3.633463141763826e-19,2.729396196674768e-18,0.0,0.0,0.0,4.83913458792574e-18,0.0,0.0,6.843705028921338e-18,0.0
7.062656562453817e-19,0.0,1.321483043414906e-18,0.0,0.0,0.0,0.0,1.7095425107683619e-18,3.18418863367388e-18,0.0,0.0,9.05603840794597e-19,0.0,2.504590418328821e-18,0.0
0.0,0.0,2.6967954345463672e-18,4.724687762044238e-19,0.0,3.2977191796432978e-18,2.6440830097451565e-18,4.9147998891335325e-19,9.289007628731274e-19,7.127664081658284e-19,0.0,0.0,0.0,0.0,3.27473865149439e-19
4.927236741135941e-18,0.0,0.0,7.151456749456254e-20,0.0,0.0,0.0,0.0,0.0,0.0,3.3014585425199825e-18,3.9383612121949433e-19,4.332263213465902e-18,4.798694169412012e-18,7.721798253807423e-20
0.0,0.0,1.0944512935030028e-18,1.754508702958108e-18,0.0,3.4931935723998975e-18,1.0630894188198928e-18,3.20514712765207e-18,4.548936043201356e-18,2.1112319281319103e-19,0.0,1.6834731850108945e-18,0.0,0.0,5.797024184524157e-19
0.0003208031762464461,0.0003211226807786626,0.000320422578333175,0.0003209878306929157,0.00032025567783195905,0.0003186932881540139,0.0003193758577494127,0.0003198863774837429,0.0003207616153073837,0.0003202138180606859,0.00031919521060034715,0.0003193745984466825,0.0003190100758082359,0.00031955549560318264,0.00031966203922065533
0.0,4.098032779283237e-18,0.0,1.1416366247371847e-18,0.0,2.6902841676774132e-18,0.0,1.8929160261768316e-18,2.48320109336634e-18,0.0,1.3383379901655407e-18,1.572873999096816e-18,2.0333431270798754e-18,8.375288754778124e-19,0.0
0.0,3.5195988527437514e-18,1.7836053099401388e-19,0.0,0.0,0.0,1.3179500394401883e-18,4.307790098354711e-18,9.898062571692276e-19,0.0,1.3961170647820416e-18,2.390503634641612e-18,1.686739440983828e-18,0.0,0.0
0.00161942770843265,0.0016194328776807658,0.0016194224313621488,0.0016194309032686502,0.0016194203662799303,0.0016193987151208293,0.0016194078489711978,0.0016194148486230282,0.0016194274101513928,0.001619419493581622,0.0016194052391702797,0.001619407810904671,0.001619402930740462,0.001619410238361248,0.0016194119892395035
2.0635068420802895e-19,0.0,0.0,0.0,7.621660769133745e-19,6.045077546755507e-19,1.8219988806550206e-18,0.0,1.0067198858746305e-18,2.7624737435674805e-18,3.733754135233761e-18,0.0,0.0,1.4276496263091217e-18,0.0
0.0,1.1290423532786825e-18,3.5320678293401984e-18,0.0,0.0,1.4648096220569605e-18,3.781352311489547e-18,0.0,1.2018789567788194e-19,0.0,0.0,2.05795314643333e-18,0.0,4.479477847257883e-19,3.874089122358416e-19
0.07347676281701214,0.07347697646145965,0.07347650888641939,0.07347688659617627,0.07347639763938878,0.07347535848994628,0.07347581126118734,0.0734761517415907,0.07347673512387508,0.07347636935154253,0.07347569207835905,0.07347581122380069,0.07347556846176385,0.0734759310998877,0.07347600178578212
0.0,1.9543719811570535e-18,0.0,0.0,0.0,0.0,0.0,9.268650601930016e-19,0.0,0.0,0.0,1.5108758983331376e-18,4.2135131986571976e-19,1.2751043137113404e-20,0.0
